full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Dwarkesh Patel,M,llm-high,influencer,2,0,0,0,2,"{""AI and machine learning"": 2}","Dwarkesh Patel (@Dwarkesh_sp / Podcast): Host of ""Dwarkesh's Podcast,"" where he conducts incredibly deep and insightful interviews with leading AI researchers..."
Andrew G. Barto,M,gender-guesser,academic,3,0,0,0,3,"{""AI and machine learning"": 3}","His textbook, ""Reinforcement Learning: An Introduction"" (co-authored with Andrew G. Barto), is the foundational text in the field"
Tom M. Mitchell,M,gender-guesser,academic,2,0,0,0,2,"{""AI and machine learning"": 2}","Tom M. Mitchell: Author of ""Machine Learning,"" a classic and highly cited textbook that defined the field for many."
Azeem Azhar,M,llm-high,influencer,4,0,0,0,4,"{""AI and machine learning"": 4}","Azeem Azhar (@azeem): Creator of Exponential View. Offers a broader perspective on exponential technologies, including AI, and their societal and economic implications."
Arjun Ramani,M,gender-guesser,academic,1,0,0,0,1,"{""AI and machine learning"": 1}","Arjun Ramani: (Researcher, formerly Stanford) Often provides insightful data-driven analysis on AI labor, economic impacts, and policy."
Vinod Khosla,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}",Vinod Khosla: (Khosla Ventures) A prominent VC with strong opinions on AI's transformative potential across industries.
Robert Tibshirani,M,gender-guesser,academic,14,0,0,0,14,"{""AI and machine learning"": 2, ""data and analytics"": 12}","Robert Tibshirani, and Jerome Friedman: Authors of the highly influential textbooks ""The Elements of Statistical Learning"" and ""An Introduction to Statistical Learning,"" which are cited constantly. Individually, they are also known for significant contributions like LASSO (Tibshirani)."
Jerome Friedman,M,gender-guesser,academic,14,0,0,0,14,"{""AI and machine learning"": 2, ""data and analytics"": 12}","Jerome Friedman: Authors of the highly influential textbooks ""The Elements of Statistical Learning"" and ""An Introduction to Statistical Learning,"" which are cited constantly. Individually known for CART (Friedman), and Gradient Boosting (Friedman)."
Aaron Courville,M,gender-guesser,academic,4,0,0,0,4,"{""AI and machine learning"": 4}","""Deep Learning"" by Ian Goodfellow, Yoshua Bengio, and Aaron Courville"
Emad Mostaque,M,gender-guesser,founder_ceo,4,0,0,0,4,"{""AI and machine learning"": 4}","Emad Mostaque (@EMostaque on X): Founder of Stability AI. Very active on X, sharing insights on open-source AI, generative models, and the democratization of AI"
Abhishek Gupta,M,llm-high,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Matt Bornstein & Abhishek Gupta (Andreessen Horowitz a16z blog): Partners at a leading VC firm, they publish excellent analyses on AI market trends, investment"
Bindu Reddy,F,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Bindu Reddy (@bindureddy on X): CEO of Abacus.AI. Shares practical insights from an AI product builder's perspective, often discussing enterprise AI challenges"
Arif Khan,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Arif Khan: Research Director covering AI, machine learning, and data science platforms."
Kjell Carlstrom,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Kjell Carlstrom: Principal Analyst covering AI, machine learning, and data science platforms."
Peter Levine,M,gender-guesser,vendor_exec,5,0,0,0,5,"{""AI and machine learning"": 4, ""software engineering"": 1}","Specific partners to look out for: Matt Bornstein, Sarah Guo (now at Conviction), Martin Casado, Peter Levine (though roles and firms change)."
Clement Delangue,M,gender-guesser,founder_ceo,5,0,0,0,5,"{""AI and machine learning"": 5}","Follow their team (e.g., Clement Delangue, Thomas Wolf) and their blog for updates on new models, tools, and community-driven AI development."
Thomas Wolf,M,gender-guesser,founder_ceo,4,0,0,0,4,"{""AI and machine learning"": 4}","Follow their team (e.g., Clement Delangue, Thomas Wolf) and their blog for updates on new models, tools, and community-driven AI development."
Dr. Emily M. Bender,F,gender-guesser,academic,4,0,0,0,4,"{""AI and machine learning"": 3, ""data and analytics"": 1}","Emily M. Bender (University of Washington): A computational linguist who provides critical analysis of Large Language Models (LLMs), focusing on their true capabilities, limitations, and potential harms."
Abeba Birhane,F,llm-high,academic,1,0,0,0,1,"{""AI and machine learning"": 1}","Abeba Birhane (Trinity College Dublin): Researches algorithmic injustice, ethics, and responsible AI."
Mike Volpi,M,gender-guesser,vendor_exec,1,0,0,0,1,"{""AI and machine learning"": 1}","Mike Volpi (Index Ventures): Partner at Index Ventures, with a strong focus on enterprise software and AI."
Peter Krensky,M,gender-guesser,analyst,4,0,0,0,4,"{""AI and machine learning"": 2, ""data and analytics"": 2}","Peter Krensky: Covers AI market trends, business applications, and emerging AI technologies."
Kjell Rilbe,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Kjell Rilbe: Specializes in AI strategy, enterprise AI adoption, and the business value of AI."
Caitlin Fennessy,F,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Caitlin Fennessy: Focuses on AI strategies, data intelligence, and the future of work with AI."
Daniel Faggella,M,gender-guesser,founder_ceo,2,0,0,0,2,"{""AI and machine learning"": 2}","Daniel Faggella (CEO, Emerj Artificial Intelligence Research): Focus: AI in industry, market research, and competitive intelligence."
Elad Gil,M,gender-guesser,founder_ceo,2,0,0,0,2,"{""AI and machine learning"": 2}","Elad Gil (Independent Investor & Author): Focus: A prolific angel investor and author, Gil frequently shares strategic insights on AI's impact on startups and market dynamics."
Kathleen McKeown,F,gender-guesser,academic,1,0,0,0,1,"{""AI and machine learning"": 1}",A distinguished professor of Computer Science at Columbia University and a pioneer in Natural Language Processing (NLP).
Dr. Olga Russakovsky,F,gender-guesser,academic,3,0,0,0,3,"{""AI and machine learning"": 3}","An assistant professor at Princeton University, her work builds on the legacy of ImageNet, focusing on computer vision and fairness in machine learning."
Dr. Raia Hadsell,F,llm-high,academic,2,0,0,0,2,"{""AI and machine learning"": 2}","A leading research scientist at DeepMind, where she has made significant contributions to areas like continual learning, robotics, and reinforcement learning."
Josh Starmer,M,gender-guesser,influencer,5,0,0,0,5,"{""AI and machine learning"": 3, ""data and analytics"": 2}","channels like StatQuest with Josh Starmer, 3Blue1Brown (for mathematical intuition)"
Kathleen Walch,F,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Cognilytica (Kathleen Walch & Daniel Faggella): Highly focused on AI market intelligence, data, and analysis."
Anjney Midha,M,llm-high,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","While a firm, their partners (e.g., Martin Casado, Peter Levine, Anjney Midha) and their content offer deep technical and market analysis."
Aurélien Géron,M,gender-guesser,practitioner,1,0,0,0,1,"{""AI and machine learning"": 1}","Authors like Aurélien Géron (""Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow"")."
Frank Chen,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","partners like Martin Casado, Frank Chen, and Zoran Basich are frequently quoted on the technical and market aspects of AI."
Zoran Basich,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","partners like Martin Casado, Frank Chen, and Zoran Basich are frequently quoted on the technical and market aspects of AI."
Angelina McMillan-Major,F,gender-guesser,academic,1,0,0,0,1,"{""AI and machine learning"": 1}","Her ""Stochastic Parrots"" paper (co-authored with Timnit Gebru, Angelina McMillan-Major, and Margaret Mitchell), which raised important questions about the risks and limitations of these models."
Margaret Mitchell,F,gender-guesser,academic,2,0,0,0,2,"{""AI and machine learning"": 2}","Her ""Stochastic Parrots"" paper (co-authored with Timnit Gebru, Angelina McMillan-Major, and Margaret Mitchell), which raised important questions about the risks and limitations of these models."
Dr. Sasha Luccioni,F,llm-high,academic,1,0,0,0,1,"{""AI and machine learning"": 1}",A key figure in the open-source AI movement and responsible large language model development. She played a crucial role in the BigScience Workshop.
Krish Naik,unclassified,unclassified,influencer,2,0,0,0,2,"{""AI and machine learning"": 1, ""data and analytics"": 1}","Many individuals maintain popular blogs, GitHub repositories, and YouTube channels (e.g., Krish Naik, StatQuest with Josh Starmer"
Erik Bradley,M,gender-guesser,analyst,1,0,0,0,1,"{""AI and machine learning"": 1}","Key Analysts: While specific analysts rotate and specialize, look for reports authored by Svetlana Sicular, Arun Chandrasekaran, Erik Bradley, and others focusing on AI/ML."
Gigi Levy-Weiss,M,gender-guesser,vendor_exec,1,0,0,0,1,"{""AI and machine learning"": 1}","Gigi Levy-Weiss (NFX): Partner at NFX, often writes excellent pieces on network effects and AI's impact on business models."
Shane Legg,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Google DeepMind: (Demis Hassabis, Shane Legg) - Pioneers in deep learning, reinforcement learning, and AI"
Aidan Gomez,M,gender-guesser,founder_ceo,2,0,0,0,2,"{""AI and machine learning"": 2}",Cohere (Aidan Gomez): Specializing in LLMs for enterprise applications.
J.R. Storment,unclassified,unclassified,founder_ceo,13,0,0,0,13,"{""cloud and infrastructure"": 13}","J.R. Storment (Executive Director, FinOps Foundation): Co-founder of the FinOps Foundation, which is standardizing and promoting FinOps best practices."
Liz Fong-Jones,F,gender-guesser,vendor_exec,24,0,0,0,24,"{""cloud and infrastructure"": 21, ""software engineering"": 3}","Liz Fong-Jones (Honeycomb Principal Developer Advocate): Another prominent SRE and observability expert, known for her work on SLOs, error budgets, and promoting healthy on-call cultures."
Jeremy Daly,M,gender-guesser,influencer,10,0,0,0,10,"{""cloud and infrastructure"": 10}","Jeremy Daly (Serverless Inc./Independent): A prominent voice in the serverless community, known for his ""Serverless Status"" newsletter and deep dives into serverless architectures on AWS."
Yan Cui,M,gender-guesser,practitioner,7,0,0,0,7,"{""cloud and infrastructure"": 7}","Yan Cui (The Lumigo Way/Independent): Another highly respected serverless expert, particularly on AWS Lambda, known for his practical advice, blogs, and talks on building and operating serverless applications."
John Giannandrea,M,gender-guesser,vendor_exec,1,0,0,0,1,"{""AI and machine learning"": 1}",John Giannandrea (SVP of Machine Learning and AI Strategy): Leading Apple's AI efforts.
Nick Frosst,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Cohere: (Aidan Gomez, Nick Frosst, Llukas Kaiser) Founded by former Google Brain researchers, specializing in enterprise-grade LLMs."
Llukas Kaiser,M,llm-high,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Cohere: (Aidan Gomez, Nick Frosst, Llukas Kaiser) Founded by former Google Brain researchers, specializing in enterprise-grade LLMs."
Arthur Mensch,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Mistral AI: (Arthur Mensch, Guillaume Lample, Timothée Lacroix) A European startup rapidly gaining traction for its efficient and powerful open-source LLMs."
Guillaume Lample,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Mistral AI: (Arthur Mensch, Guillaume Lample, Timothée Lacroix) A European startup rapidly gaining traction for its efficient and powerful open-source LLMs."
Timothée Lacroix,M,llm-high,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Mistral AI: (Arthur Mensch, Guillaume Lample, Timothée Lacroix) A European startup rapidly gaining traction for its efficient and powerful open-source LLMs."
Julien Chaumond,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""AI and machine learning"": 1}","Hugging Face: (Clément Delangue, Thomas Wolf, Julien Chaumond) Not a model developer, but a crucial platform for sharing, building, and deploying open-source AI models and datasets."
Stephen Foskett,M,gender-guesser,founder_ceo,8,0,0,0,8,"{""cloud and infrastructure"": 3, ""networking and telecommunications"": 5}","While not a direct ""expert"" in the technical sense, Stephen plays a crucial role in the infrastructure community by organizing Tech"
Armon Dadgar,M,gender-guesser,founder_ceo,7,0,0,0,7,"{""cloud and infrastructure"": 7}","Mitchell Hashimoto & Armon Dadgar (Co-founders, HashiCorp): Focus: Infrastructure as Code (Terraform), secrets management (Vault), service mesh (Consul), and other foundational tools."
Bridget Kromhout,F,gender-guesser,vendor_exec,11,0,0,0,11,"{""cloud and infrastructure"": 11}","Bridget Kromhout (Principal Cloud Developer Advocate, Microsoft): Focus: Cloud-native, Kubernetes, DevOps, and fostering community engagement and education around cloud technologies."
Matt Klein,M,gender-guesser,founder_ceo,4,0,0,0,4,"{""cloud and infrastructure"": 4}","Matt Klein (Creator of Envoy Proxy, Lyft): The creator of Envoy Proxy, a foundational component in many cloud-native architectures (service mesh)."
Larry Dignan,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","ZDNet (especially Larry Dignan & Steven J. Vaughan-Nichols): Often cover enterprise cloud trends, vendor strategies."
Steven J. Vaughan-Nichols,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","ZDNet (especially Larry Dignan & Steven J. Vaughan-Nichols): Often cover enterprise cloud trends, vendor strategies."
Ian Coldwater,M,gender-guesser,practitioner,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Ian Coldwater (@IanColdwater). Focus: Kubernetes security, offensive security, cloud native security."
Chris Short,unclassified,unclassified,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Editor-in-Chief of the CNCF newsletter, great for staying on top of the cloud-native ecosystem."
Jessica Deen,F,gender-guesser,vendor_exec,6,0,0,0,6,"{""cloud and infrastructure"": 6}","Jessica Deen (@jessicadeen): Excellent technical content, demos, and practical advice on building and deploying with Azure."
Joe Kinsella,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""cloud and infrastructure"": 1}",Joe Kinsella (@joekinsella): Deep expertise in helping enterprises manage and optimize their cloud spend.
Gabe Monroy,M,gender-guesser,vendor_exec,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Gabe Monroy (@gabemonroy): VP of Product at Microsoft Azure, previously co-founder of Deis (early Kubernetes company)."
Thomas Maurer,M,gender-guesser,influencer,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Thomas Maurer (@thomasmaurer): Microsoft MVP. Focuses on hybrid cloud, Azure Stack, and Windows Server technologies."
Rich Mogull,M,llm-high,founder_ceo,2,0,0,0,2,"{""cloud and infrastructure"": 2}",Rich Mogull (@rmogull): CEO of Securosis. A long-time security analyst with deep insights into cloud security strategy and risk management.
Matthew Skelton,M,gender-guesser,influencer,2,0,0,0,2,"{""cloud and infrastructure"": 2}",Matthew Skelton & Manuel Pais (Co-authors of Team Topologies): Their work on organizing teams for effective software delivery is highly influential...
Manuel Pais,M,gender-guesser,influencer,2,0,0,0,2,"{""cloud and infrastructure"": 2}",Matthew Skelton & Manuel Pais (Co-authors of Team Topologies): Their work on organizing teams for effective software delivery is highly influential...
Donovan Brown,M,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Donovan Brown (Partner Program Manager at Microsoft): Focus on DevOps, Azure DevOps, and best practices for building on Azure."
Michael Armbrust,M,gender-guesser,academic,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Michael Armbrust, Armando Fox, David Patterson, Randy Katz, et al. (Berkeley AMP Lab): Their 2009 paper ""A View of Cloud Computing"" and subsequent work from the Berkeley AMP Lab are seminal"
Dustin Smith,M,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Nicole Forsgren, Jez Humble, Dustin Smith (DORA / Google): Their research and book ""Accelerate"" provide data-driven insights into high-performing technology organizations"
Randy Shoup,M,llm-high,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}",An early practitioner of large-scale distributed systems and microservices at companies like eBay and Google.
Rean Griffith,unclassified,unclassified,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Ion Stoica, Matei Zaharia, et al."
Anthony D. Joseph,M,gender-guesser,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Ion Stoica, Matei Zaharia, et al."
Andrew Konwinski,M,gender-guesser,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Ion Stoica, Matei Zaharia, et al."
Gunho Lee,M,llm-high,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Ion Stoica, Matei Zaharia, et al."
Ariel Rabkin,M,gender-guesser,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Ion Stoica, Matei Zaharia, et al."
Rajkumar Buyya,M,gender-guesser,academic,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Rajkumar Buyya (University of Melbourne): A very prolific academic researcher in cloud computing, grid computing, distributed systems, and resource management."
Shelly Kramer,F,gender-guesser,analyst,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Shelly Kramer (@ShellyKramer): Marketing, digital transformation, cloud."
Tom Limoncelli,M,gender-guesser,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Tom Limoncelli: Author of ""The Practice of System and Network Administration,"" a classic text."
Milind Govekar,M,llm-high,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Specific analysts specializing in cloud, infrastructure, DevOps (e.g., David Smith, Lydia Leong, Milind"
Alex Williams,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Alex Williams, Scott M. Fulton III (focus on cloud native, DevOps, containers)."
Scott M. Fulton III,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Alex Williams, Scott M. Fulton III (focus on cloud native, DevOps, containers)."
Dan Kohn,M,gender-guesser,founder_ceo,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Dan Kohn (RIP): (Former Executive Director of CNCF, instrumental in cloud-native adoption)."
Stephane Maarek,M,llm-high,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}",A Cloud Guru / Pluralsight / Udemy instructors: People like Stephane Maarek (AWS) or Adrian Cantrill (AWS) create comprehensive courses that teach cloud skills.
Adrian Cantrill,M,gender-guesser,influencer,1,0,0,0,1,"{""cloud and infrastructure"": 1}",A Cloud Guru / Pluralsight / Udemy instructors: People like Stephane Maarek (AWS) or Adrian Cantrill (AWS) create comprehensive courses that teach cloud skills.
Mike Fuller,M,gender-guesser,founder_ceo,2,0,0,0,2,"{""cloud and infrastructure"": 2}",J.R. Storment & Mike Fuller (FinOps Foundation): Driving the discipline of cloud financial management.
Mai-Lan Tomsen Bukovec,F,llm-high,vendor_exec,8,0,0,0,8,"{""cloud and infrastructure"": 8}","She leads the massive AWS Compute business, which includes EC2, Lambda, and other foundational services."
Sherry Commins,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Leading a significant portion of AWS's core compute offerings, her work is fundamental to how customers run their applications."
Roopali Singh,F,llm-high,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Singh is responsible for the foundational infrastructure that underpins Microsoft Azure, including networking, storage, and compute."
Amanda Kelly,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","She plays a crucial role in the development and operation of Google Cloud's global infrastructure, ensuring its robustness and innovation."
Sarah Bird,F,gender-guesser,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","With a background spanning both Microsoft Azure and now Google Cloud, Sarah brings deep expertise in cloud engineering and product development."
Liz Centoni,F,gender-guesser,vendor_exec,3,0,0,0,3,"{""cloud and infrastructure"": 3}","Centoni leads Cisco's overall strategy, including its significant contributions to networking, security, and hybrid cloud infrastructure."
Kim Stevenson,unclassified,unclassified,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Stevenson has held significant leadership roles at IBM, influencing its hybrid cloud strategy and software portfolio."
Brenda Darden Wilkerson,F,gender-guesser,founder_ceo,1,0,0,0,1,"{""cloud and infrastructure"": 1}",Brenda's leadership at AnitaB.org (which organizes the Grace Hopper Celebration) is critical for increasing representation of women in technology.
Sandra Rivera,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Rivera leads Intel's core business for data center products, including Xeon processors, networking, and AI accelerators."
Fidelma Russo,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","As CTO, Russo is responsible for HPE's technology strategy and roadmap, including hybrid cloud, edge computing, and AI/ML infrastructure."
Erin Chapple,F,llm-high,vendor_exec,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Chapple is responsible for the core infrastructure services that power Microsoft Azure, one of the world's largest cloud platforms."
Susie Wee,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Wee leads the networking portfolio for Google Cloud, which is critical for connectivity, performance, and security across Google's global infrastructure."
Karen De Sousa Pesse,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}",De Sousa Pesse is responsible for the engineering teams that build the underlying infrastructure for Google Cloud Platform.
Dr. Angelique Taylor,F,gender-guesser,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Leading fundamental hardware innovation at Intel, Dr. Taylor's work is essential for the underlying physical infrastructure of the cloud."
Philip Dawson,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Philip Dawson: Covers cloud-native technologies, containers, and Kubernetes."
Randy Heffner,M,llm-high,analyst,2,0,0,0,2,"{""cloud and infrastructure"": 1, ""software engineering"": 1}","Randy Heffner: Specializes in cloud strategy, architecture, and integration."
Dave McCarthy,M,gender-guesser,analyst,5,0,0,0,5,"{""cloud and infrastructure"": 5}",Dave McCarthy: Focuses on cloud and edge infrastructure services.
Andy Thurai,M,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Andy Thurai: Focuses on AI, cloud, digital transformation, and emerging technologies."
Brian Vecci,M,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Brian Vecci: Focuses on security and risk, including cloud security."
Carla Arend,F,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}",Carla Arend: Focuses on cloud services and multi-cloud strategies in Europe.
Eric Burgener,M,gender-guesser,analyst,4,0,0,0,4,"{""cloud and infrastructure"": 4}","Eric Burgener: Specializes in storage, including cloud storage and data management."
Simon Robinson,M,gender-guesser,analyst,3,0,0,0,3,"{""cloud and infrastructure"": 3}","Simon Robinson: Covers cloud infrastructure, digital transformation, and competitive analysis."
Jay Lyman,M,gender-guesser,analyst,5,0,0,0,5,"{""cloud and infrastructure"": 5}","Jay Lyman: Specializes in cloud-native, containers, DevOps, and related application development."
Cliff Grossner,M,gender-guesser,journalist,3,0,0,0,3,"{""cloud and infrastructure"": 2, ""networking and telecommunications"": 1}","Cliff Grossner: Covers data center and cloud networking, edge, and AI infrastructure."
Vlad Galabov,M,gender-guesser,analyst,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Vlad Galabov: Focuses on cloud and data center research, including servers and storage."
Jeffrey Wheatman,M,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Covers hybrid cloud, private cloud, and data center infrastructure modernization."
Brian Ventura,M,gender-guesser,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}",Specializes in cloud security and zero trust.
Jean Atelsek,M,gender-guesser,analyst,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Covers DevOps, IT automation, and application development."
Jeffrey Hewitt,M,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Jeffrey Hewitt: VP Analyst, specializes in data center infrastructure, servers, and compute technologies."
Michael Warrilow,M,gender-guesser,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Michael Warrilow: VP Analyst, focuses on cloud management, FinOps, and cloud operations."
Charlie Betz,unclassified,unclassified,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Charlie Betz: VP, Principal Analyst, focuses on DevOps, Site Reliability Engineering (SRE), and platform engineering."
Stephen Elliot,M,gender-guesser,analyst,3,0,0,0,3,"{""cloud and infrastructure"": 2, ""software engineering"": 1}","Stephen Elliot: Group Vice President, I&O, Cloud Operations, and DevOps."
Jessica Hawk,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Jessica Hawk (Microsoft Azure) Corporate Vice President, Data, AI, and Mixed Reality Marketing at Microsoft. Previously CVP, Azure Product Marketing."
Katie Gamanji,F,gender-guesser,practitioner,3,0,0,0,3,"{""cloud and infrastructure"": 3}",Katie Gamanji (Cloud Native & Kubernetes Expert) Senior Field Engineer at Apple (previously at CNCF and AWS).
Sandy Carielli,unclassified,unclassified,analyst,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Sandy Carielli: Cloud security, application security."
Al Gillen,M,gender-guesser,analyst,3,0,0,0,3,"{""cloud and infrastructure"": 1, ""software engineering"": 2}","Al Gillen: Software development, DevOps, open source."
Jennifer Lin,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Jennifer Lin (VP of Engineering, Google Cloud Security & Privacy): Her work is critical in building trust and ensuring the security of Google Cloud's offerings, which is a top concern for any enterprise adopting cloud infrastructure."
Roanne Sones,F,llm-high,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Roanne Sones (Corporate Vice President, Azure Edge + Platform, Microsoft): Focused on strategic areas like edge computing and platform innovation, she plays a key role in extending Azure's reach and capabilities."
Nikhita Raghunath,F,llm-high,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Nikhita Raghunath (Kubernetes Contributor & CNCF Ambassador): A highly respected engineer and contributor to Kubernetes, she plays a vital role in the technical development and community health of one of the most critical pieces of modern cloud infrastructure."
Kit Colbert,unclassified,unclassified,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Kit Colbert (CTO, VMware): As the Chief Technology Officer of VMware, a company foundational to modern virtualization and enterprise cloud, she sets the technical vision for a company that underpins much of the world's hybrid cloud."
Edith Harbaugh,F,gender-guesser,founder_ceo,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Edith Harbaugh (CEO & Co-founder, LaunchDarkly): Her company pioneered feature flagging, a crucial practice for modern DevOps and continuous delivery, enabling faster and safer deployment of new features in cloud environments."
Neelima Rustagi,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Neelima Rustagi (VP Engineering, Data & AI, Databricks): Leading engineering for a company at the forefront of data infrastructure in the cloud, she's instrumental in shaping how organizations process, manage, and derive insights from their vast datasets."
Bob Gill,M,gender-guesser,practitioner,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Bob Gill: Focuses on data center infrastructure, modular data centers, and sustainability."
Larry Carvalho,M,gender-guesser,analyst,2,0,0,0,2,"{""cloud and infrastructure"": 2}","Larry Carvalho: Focuses on multi-cloud, hybrid cloud, and cloud platform services."
Daniel Kennedy,M,gender-guesser,journalist,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Daniel Kennedy: Covers data center technologies, colocation, and managed services."
Renee James,F,gender-guesser,founder_ceo,1,0,0,0,1,"{""cloud and infrastructure"": 1}","Formerly President of Intel, she later became the CEO of Ampere Computing, a company focused on developing high-performance ARM-based processors for cloud data centers."
Jenny Wood,F,gender-guesser,vendor_exec,1,0,0,0,1,"{""cloud and infrastructure"": 1}","As a Senior Director of Product Management at Google Cloud, she has been instrumental in shaping the development and strategy of key infrastructure products."
